strategy,chunk_id,parent_document_id,file_name,doc_type,page_number,char_count,word_count,text_preview
small_recursive,doc_00000_chunk_000,doc_00000,audit.txt,txt,,12,2,AUDIT TRAILS
small_recursive,doc_00000_chunk_001,doc_00000,audit.txt,txt,,487,72,"Audit trails maintain a record of system activity both by system and application processes and by user activity of systems and applications. In conjunction with appropriate tools and procedures, audit"
small_recursive,doc_00000_chunk_002,doc_00000,audit.txt,txt,,466,73,"An audit trail is a series of records of computer events, about an operating system, an application, or user activities. A computer system may have several audit trails, each devoted to a particular t"
small_recursive,doc_00000_chunk_003,doc_00000,audit.txt,txt,,413,71,"Audit trails may be used as either a support for regular system operations or a kind of insurance policy or as both of these. As insurance, audit trails are maintained but are not used unless needed, "
small_recursive,doc_00000_chunk_004,doc_00000,audit.txt,txt,,261,33,"BENEFITS AND OBJECTIVES Audit trails can provide a means to help accomplish several security-related objectives, including individual accountability, reconstruction of events (actions that happen on a"
small_recursive,doc_00000_chunk_005,doc_00000,audit.txt,txt,,433,66,"Individual Accountability Audit trails are a technical mechanism that help managers maintain individual accountability. By advising users that they are personally accountable for their actions, which "
small_recursive,doc_00000_chunk_006,doc_00000,audit.txt,txt,,437,69,"For example, audit trails can be used in concert with access controls to identify and provide information about users suspected of improper modification of data (e.g., introducing errors into a databa"
small_recursive,doc_00000_chunk_007,doc_00000,audit.txt,txt,,259,43,"may be very resource-intensive.) Comparisons can then be made between the actual changes made to records and what was expected. This can help management determine if errors were made by the user, by t"
small_recursive,doc_00000_chunk_008,doc_00000,audit.txt,txt,,432,66,"Audit trails work in concert with logical access controls, which restrict use of system resources. Granting users access to particular resources usually means that they need that access to accomplish "
small_recursive,doc_00000_chunk_009,doc_00000,audit.txt,txt,,438,71,"to which they have legitimate access authorization, audit trail analysis is used to examine their actions. For example, consider a personnel office in which users have access to those personnel record"
small_recursive,doc_00000_chunk_010,doc_00000,audit.txt,txt,,327,55,personal data. Another example may be an engineer who is using a computer for the design of a new product. Audit trail analysis could reveal that an outgoing modem was used extensively by the engineer
small_recursive,doc_00000_chunk_011,doc_00000,audit.txt,txt,,455,69,Reconstruction of Events Audit trails can also be used to reconstruct events after a problem has occurred. Damage can be more easily assessed by reviewing audit trails of system activity to pinpoint h
small_recursive,doc_00000_chunk_012,doc_00000,audit.txt,txt,,498,82,"system-created errors (e.g., arising from a poorly tested piece of replacement code). If, for example, a system fails or the integrity of a file (either program or data) is questioned, an analysis of "
small_recursive,doc_00000_chunk_013,doc_00000,audit.txt,txt,,204,34,"outages. Additionally, if a technical problem occurs (e.g., the corruption of a data file) audit trails can aid in the recovery process (e.g., by using the record of changes made to reconstruct the fi"
small_recursive,doc_00000_chunk_014,doc_00000,audit.txt,txt,,449,69,Intrusion Detection Intrusion detection refers to the process of identifying attempts to penetrate a system and gain unauthorized access. If audit trails have been designed and implemented to record a
small_recursive,doc_00000_chunk_015,doc_00000,audit.txt,txt,,154,27,"as they are created (or through the use of other kinds of warning flags/notices), or after the fact (e.g., by examining audit records in a batch process)."
small_recursive,doc_00000_chunk_016,doc_00000,audit.txt,txt,,364,53,"Real-time intrusion detection is primarily aimed at outsiders attempting to gain unauthorized access to the system. It may also be used to detect changes in the system's performance indicative of, for"
small_recursive,doc_00000_chunk_017,doc_00000,audit.txt,txt,,193,26,After-the-fact identification may indicate that unauthorized access was attempted (or was successful). Attention can then be given to damage assessment or reviewing controls that were attacked.
small_recursive,doc_00000_chunk_018,doc_00000,audit.txt,txt,,444,71,Problem Analysis Audit trails may also be used as on-line tools to help identify problems other than intrusions as they occur. This is often referred to as real-time auditing or monitoring. If a syste
small_recursive,doc_00000_chunk_019,doc_00000,audit.txt,txt,,475,77,"noted above, there can be difficulties with real-time analysis). An analysis of the audit trails may be able to verify that the system operated normally (i.e., that an error may have resulted from ope"
small_recursive,doc_00000_chunk_020,doc_00000,audit.txt,txt,,337,49,"AUDIT TRAILS AND LOGS A system can maintain several different audit trails concurrently. There are typically two kinds of audit records, (1) an event-oriented log and (2) a record of every keystroke, "
small_recursive,doc_00000_chunk_021,doc_00000,audit.txt,txt,,386,65,"An audit trail should include sufficient information to establish what events occurred and who (or what) caused them. In general, an event record should specify when the event occurred, the user ID as"
small_recursive,doc_00000_chunk_022,doc_00000,audit.txt,txt,,454,68,Keystroke Monitoring Keystroke monitoring is the process used to view or record both the keystrokes entered by a computer user and the computer's response during an interactive session. Keystroke moni
small_recursive,doc_00000_chunk_023,doc_00000,audit.txt,txt,,152,24,"mail, and viewing other recorded information typed by users. (See the CSL Bulletin of March 1993, for guidance on the legality of keystroke monitoring.)"
small_recursive,doc_00000_chunk_024,doc_00000,audit.txt,txt,,445,65,Some forms of routine system maintenance may record user keystrokes. This could constitute keystroke monitoring if the keystrokes are preserved along with the user identification so that an administra
small_recursive,doc_00000_chunk_025,doc_00000,audit.txt,txt,,170,24,without authority or in excess of their assigned authority. Monitoring keystrokes typed by intruders can help administrators assess and repair damage caused by intruders.
small_recursive,doc_00000_chunk_026,doc_00000,audit.txt,txt,,433,65,"Audit Events System audit records are generally used to monitor and fine-tune system performance. Application audit trails may be used to discern flaws in applications, or violations of security polic"
small_recursive,doc_00000_chunk_027,doc_00000,audit.txt,txt,,147,22,"expose a variety of security violations, which might range from simple browsing to attempts to plant Trojan horses or gain unauthorized privileges."
small_recursive,doc_00000_chunk_028,doc_00000,audit.txt,txt,,423,61,The system itself enforces certain aspects of policy (particularly system-specific policy) such as access to files and access to the system itself. Monitoring the alteration of systems configuration f
small_recursive,doc_00000_chunk_029,doc_00000,audit.txt,txt,,440,75,"Sometimes a finer level of detail than system audit trails is required. Application audit trails can provide this greater level of recorded detail. If an application is critical, it can be desirable t"
small_recursive,doc_00000_chunk_030,doc_00000,audit.txt,txt,,341,62,"sent mail, as well as to whom they sent mail and the length of messages. Another example would be that of a database application. It may be useful to record who accessed what database as well as the i"
small_recursive,doc_00000_chunk_031,doc_00000,audit.txt,txt,,178,33,"A user audit trail monitors and logs user activity in a system or application by recording events initiated by the user (e.g., access of a file, record or field, use of a modem)."
small_recursive,doc_00000_chunk_032,doc_00000,audit.txt,txt,,428,71,"Flexibility is a critical feature of audit trails. Ideally (from a security point of view), a system administrator would have the ability to monitor all system and user activity, but could choose to l"
small_recursive,doc_00000_chunk_033,doc_00000,audit.txt,txt,,386,53,"application/data sensitivity and should be decided by each functional manager/application owner with guidance from the system administrator and the computer security manager/officer, weighing the cost"
small_recursive,doc_00000_chunk_034,doc_00000,audit.txt,txt,,447,68,"System-Level Audit Trails If a system-level audit capability exists, the audit trail should capture, at a minimum, any attempt to log on (successful or unsuccessful), the log-on ID, date and time of e"
small_recursive,doc_00000_chunk_035,doc_00000,audit.txt,txt,,204,23,"unsuccessfully, to invoke). System-level logging also typically includes information that is not specifically security-related, such as system operations, cost-accounting charges, and network performa"
small_recursive,doc_00000_chunk_036,doc_00000,audit.txt,txt,,461,70,"Application-Level Audit Trails System-level audit trails may not be able to track and log events within applications, or may not be able to provide the level of detail needed by application or data ow"
small_recursive,doc_00000_chunk_037,doc_00000,audit.txt,txt,,350,52,"actions, such as reading, editing, and deleting records or fields, and printing reports. Some applications may be sensitive enough from a data availability, confidentiality, and/or integrity perspecti"
small_recursive,doc_00000_chunk_038,doc_00000,audit.txt,txt,,462,79,User Audit Trails User audit trails can usually log:  - all commands directly initiated by the user; - all identification and authentication attempts; and - files and resources accessed.  It is most u
small_recursive,doc_00000_chunk_039,doc_00000,audit.txt,txt,,455,73,"IMPLEMENTATION ISSUES Audit trail data requires protection, since the data should be available for use when needed and is not useful if it is not accurate. Also, the best planned and implemented audit"
small_recursive,doc_00000_chunk_040,doc_00000,audit.txt,txt,,237,37,"in real-time, or in some combination of these. System managers and administrators, with guidance from computer security personnel, should determine how long audit trail data will be maintained -- eith"
small_recursive,doc_00000_chunk_041,doc_00000,audit.txt,txt,,427,62,Following are examples of implementation issues that may have to be addressed when using audit trails.  Protecting Audit Trail Data Access to on-line audit logs should be strictly controlled. Computer
small_recursive,doc_00000_chunk_042,doc_00000,audit.txt,txt,,441,71,It is particularly important to ensure the integrity of audit trail data against modification. One way to do this is to use digital signatures. Another way is to use write-once devices. The audit trai
