document_id,file_name,doc_type,page_number,loader_name,char_count,word_count,text_preview
doc_00000,audit.txt,txt,,TextLoader,20154,3105,AUDIT TRAILS  Audit trails maintain a record of system activity both by system and application processes and by user activity of systems and applications. In conjunction with appropriate tools and pro
doc_00001,cui-ssp-template-final.docx,docx,,Docx2txtLoader,32742,4039,<<Insert name>> SYSTEM SECURITY PLAN Last Updated: <<Insert date>>  SYSTEM IDENTIFICATION  System Name/Title: [State the name of the system. Spell out acronyms.]  System Categorization: Moderate Impac
doc_00002,NIST.CSWP.29.pdf,pdf,0.0,PyPDFLoader,195,24,"National Institute of Standards and Technology This publication is available free of charge from: https://doi.org/10.6028/NIST.CSWP.29 February 26, 2024 The NIST Cybersecurity Framework (CSF) 2.0"
doc_00003,NIST.CSWP.29.pdf,pdf,1.0,PyPDFLoader,2251,316,"T he NIST Cybersecurity Framework (CSF) 2.0 i NIST CSWP 29 February 26, 2024 Abstract T he NIST Cybersecurity Framework (CSF) 2.0 provides guidance to industry, government agencies, and other organiza"
doc_00004,NIST.CSWP.29.pdf,pdf,2.0,PyPDFLoader,502,82,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 ii Acknowledgments The CSF is the result of a multi-year collaborative effort across industry, academia, and government in the"
doc_00005,NIST.CSWP.29.pdf,pdf,3.0,PyPDFLoader,1987,131,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 iii Table of Contents 1. Cybersecurity Framework (CSF) Overview .............................................................."
doc_00006,NIST.CSWP.29.pdf,pdf,4.0,PyPDFLoader,3362,504,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 iv Preface T he Cybersecurity Framework (CSF) 2.0 is designed to help organizations of all sizes and sectors — including indus"
doc_00007,NIST.CSWP.29.pdf,pdf,5.0,PyPDFLoader,2747,401,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 1 1. Cybersecurity Framework (CSF) Overview This document is version 2.0 of the NIST Cybersecurity Framework (Framework or CSF"
doc_00008,NIST.CSWP.29.pdf,pdf,6.0,PyPDFLoader,2312,340,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 2 • Prioritize: Identify, organize, and prioritize actions for managing cybersecurity risks that align with the organization’s"
doc_00009,NIST.CSWP.29.pdf,pdf,7.0,PyPDFLoader,2071,295,"NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024 3 2. Introduction to the CSF Core Appendix A is the CSF Core — a set of cybersecurity outcomes arranged by Function, then Cate"
